block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,34.987500,67.735417,32.747917,854
1,2,75.531250,80.251042,4.719792,42
1,3,85.189583,116.810417,31.620833,728
1,4,166.992708,198.121875,31.129167,664
2,5,269.532292,272.940625,3.408333,28
2,6,311.322917,315.509375,4.186458,20
2,7,329.088542,332.719792,3.631250,29
3,8,412.013542,442.590625,30.577083,778
3,9,446.768750,450.518750,3.750000,42
3,10,453.155208,484.376042,31.220833,704
3,11,505.752083,536.981250,31.229167,628
4,12,624.928125,632.220833,7.292708,52
4,13,687.352083,718.753125,31.401042,796
4,14,721.554167,724.858333,3.304167,42
4,15,728.021875,759.275000,31.253125,680
4,16,777.506250,808.313542,30.807292,608
5,17,951.520833,982.434375,30.913542,782
5,18,993.020833,1023.482292,30.461458,710
5,19,1045.855208,1076.626042,30.770833,616
6,20,1246.301042,1276.948958,30.647917,798
6,21,1288.461458,1319.164583,30.703125,730
6,22,1337.017708,1367.898958,30.881250,618
