block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,22.059375,55.813542,33.754167,898
1,2,58.402083,63.106250,4.704167,44
1,3,64.934375,96.211458,31.277083,720
1,4,104.977083,108.703125,3.726042,54
1,5,111.317708,142.093750,30.776042,668
2,6,346.344792,376.803125,30.458333,794
2,7,385.583333,416.355208,30.771875,728
2,8,431.727083,462.425000,30.697917,664
3,9,634.646875,666.062500,31.415625,794
3,10,667.836458,672.257292,4.420833,42
3,11,673.635417,705.498958,31.863542,746
3,12,714.395833,717.968750,3.572917,54
3,13,719.282292,751.352083,32.069792,696
4,14,957.434375,988.218750,30.784375,800
4,15,995.729167,1026.568750,30.839583,726
4,16,1042.958333,1072.433333,29.475000,642
5,17,1278.979167,1309.872917,30.893750,780
5,18,1318.817708,1349.791667,30.973958,778
5,19,1361.082292,1364.798958,3.716667,54
5,20,1366.148958,1396.876042,30.727083,672
