block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,10.697917,42.613542,31.915625,1580
1,2,45.996875,50.032292,4.035417,82
1,3,52.838542,83.500000,30.661458,1404
1,4,86.264583,90.181250,3.916667,224
1,5,97.530208,128.202083,30.671875,1180
2,6,319.034375,350.404167,31.369792,1640
2,7,353.835417,357.561458,3.726042,82
2,8,360.002083,391.211458,31.209375,1456
2,9,393.984375,398.013542,4.029167,256
2,10,409.333333,440.447917,31.114583,1108
3,11,622.254167,653.976042,31.721875,1612
3,12,656.662500,661.594792,4.932292,84
3,13,662.846875,694.930208,32.083333,1460
3,14,697.633333,701.461458,3.828125,248
3,15,704.269792,707.467708,3.197917,156
3,16,709.873958,740.680208,30.806250,1160
3,17,794.623958,800.061458,5.437500,164
4,18,914.039583,945.861458,31.821875,1580
4,19,948.684375,952.382292,3.697917,78
4,20,955.492708,986.865625,31.372917,1480
4,21,997.406250,1001.219792,3.813542,256
4,22,1008.044792,1020.030208,11.985417,466
4,23,1021.485417,1039.427083,17.941667,662
5,24,1239.696875,1271.120833,31.423958,1616
5,25,1273.254167,1277.340625,4.086458,82
5,26,1280.079167,1315.175000,35.095833,1636
5,27,1317.771875,1321.765625,3.993750,236
5,28,1327.428125,1358.605208,31.177083,1148
