block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,59.631250,90.642708,31.011458,914
1,2,104.329167,108.119792,3.790625,22
1,3,135.683333,167.130208,31.446875,812
2,4,236.380208,268.055208,31.675000,752
3,5,524.961458,555.902083,30.940625,902
3,6,579.353125,611.189583,31.836458,846
3,7,617.550000,621.532292,3.982292,104
3,8,656.771875,688.066667,31.294792,756
4,9,993.503125,1025.118750,31.615625,910
4,10,1062.994792,1070.760417,7.765625,44
4,11,1072.712500,1104.039583,31.327083,850
5,12,1201.095833,1233.396875,32.301042,832
6,13,1574.294792,1606.267708,31.972917,922
6,14,1624.531250,1655.890625,31.359375,860
7,15,1779.358333,1809.337500,29.979167,766
8,16,2040.240625,2071.242708,31.002083,876
8,17,2083.907292,2087.231250,3.323958,19
8,18,2093.292708,2124.825000,31.532292,912
9,19,2223.900000,2256.696875,32.796875,826
