block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,49.189583,73.319792,24.130208,618
1,2,74.339583,80.573958,6.234375,148
1,3,83.901042,88.508333,4.607292,42
1,4,91.654167,122.040625,30.386458,620
2,5,184.839583,193.926042,9.086458,224
2,6,222.326042,253.404167,31.078125,624
3,7,391.572917,423.176042,31.603125,826
3,8,471.251042,475.612500,4.361458,42
3,9,477.991667,501.614583,23.622917,512
3,10,519.878125,525.091667,5.213542,88
3,11,528.492708,560.430208,31.937500,618
4,12,653.323958,682.820833,29.496875,758
4,13,685.758333,689.712500,3.954167,39
4,14,692.931250,724.340625,31.409375,710
4,15,739.934375,743.444792,3.510417,80
4,16,748.583333,779.843750,31.260417,586
5,17,964.065625,995.186458,31.120833,806
5,18,998.533333,1003.022917,4.489583,42
5,19,1005.929167,1037.423958,31.494792,692
5,20,1067.060417,1097.373958,30.313542,590
6,21,1271.873958,1304.083333,32.209375,830
6,22,1306.778125,1311.757292,4.979167,42
6,23,1313.627083,1344.139583,30.512500,692
6,24,1363.077083,1393.650000,30.572917,572
