block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,11.854167,43.644792,31.790625,812
1,2,60.546875,91.316667,30.769792,804
1,3,98.955208,102.676042,3.720833,54
1,4,105.095833,135.958333,30.862500,702
2,5,378.547917,410.396875,31.848958,818
2,6,427.116667,458.160417,31.043750,854
2,7,461.114583,465.494792,4.380208,140
2,8,467.013542,470.635417,3.621875,52
2,9,472.779167,503.891667,31.112500,686
3,10,672.533333,703.473958,30.940625,830
3,11,720.807292,752.003125,31.195833,830
3,12,754.117708,759.315625,5.197917,162
3,13,761.063542,765.096875,4.033333,50
3,14,767.223958,798.035417,30.811458,666
4,15,1045.823958,1076.155208,30.331250,788
4,16,1091.708333,1123.871875,32.163542,830
4,17,1131.977083,1135.641667,3.664583,52
4,18,1137.672917,1168.741667,31.068750,684
5,19,1239.144792,1269.856250,30.711458,800
5,20,1286.704167,1318.473958,31.769792,852
5,21,1326.679167,1330.701042,4.021875,54
5,22,1332.494792,1363.698958,31.204167,702
