block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,17.086458,52.768750,35.682292,786
1,2,53.848958,62.553125,8.704167,44
1,3,64.491667,96.463542,31.971875,634
1,4,111.098958,142.916667,31.817708,620
2,5,362.073958,394.481250,32.407292,672
2,6,395.571875,401.560417,5.988542,41
2,7,405.336458,436.586458,31.250000,600
2,8,453.383333,484.361458,30.978125,592
3,9,628.383333,667.537500,39.154167,716
3,10,668.897917,703.089583,34.191667,662
3,11,714.332292,744.825000,30.492708,588
4,12,938.509375,977.221875,38.712500,692
4,13,978.627083,1009.176042,30.548958,608
4,14,1022.126042,1053.515625,31.389583,588
5,15,1222.320833,1260.001042,37.680208,689
5,16,1262.465625,1293.663542,31.197917,602
5,17,1308.484375,1339.251042,30.766667,602
