block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,11.316667,77.302083,65.985417,1620
1,2,79.896875,123.531250,43.634375,758
2,3,312.170833,380.909375,68.738542,3168
2,4,387.822917,428.133333,40.310417,1336
3,5,612.382292,650.697917,38.315625,1820
3,6,651.721875,681.051042,29.329167,1532
3,7,685.716667,689.790625,4.073958,232
3,8,695.422917,728.564583,33.141667,1080
4,9,802.755208,809.963542,7.208333,118
4,10,820.263542,827.719792,7.456250,120
5,11,919.033333,946.344792,27.311458,1456
5,12,948.168750,984.713542,36.544792,1724
5,13,986.802083,1026.411458,39.609375,1476
6,14,1209.067708,1243.382292,34.314583,1460
6,15,1244.462500,1281.660417,37.197917,1592
6,16,1295.161458,1326.535417,31.373958,1080
