block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,8.378125,40.939583,32.561458,1880
1,2,54.972917,62.481250,7.508333,88
1,3,66.979167,96.882292,29.903125,1726
1,4,140.503125,172.613542,32.110417,1608
2,5,256.164583,260.006250,3.841667,32
3,6,407.323958,437.880208,30.556250,1760
3,7,446.257292,450.040625,3.783333,52
3,8,458.091667,489.340625,31.248958,1724
3,9,499.146875,503.238542,4.091667,204
3,10,523.467708,554.609375,31.141667,1572
4,11,680.814583,711.866667,31.052083,1744
4,12,732.195833,736.202083,4.006250,36
4,13,745.598958,777.542708,31.943750,1792
4,14,836.513542,867.554167,31.040625,1584
5,15,1088.758333,1120.317708,31.559375,1728
6,16,1180.398958,1211.260417,30.861458,1720
6,17,1217.470833,1221.416667,3.945833,232
6,18,1232.039583,1264.037500,31.997917,1536
7,19,1393.515625,1424.627083,31.111458,1700
7,20,1432.878125,1437.228125,4.350000,52
7,21,1440.336458,1471.461458,31.125000,1708
7,22,1475.320833,1479.379167,4.058333,220
7,23,1492.821875,1524.440625,31.618750,1508
