block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,15.632292,47.544792,31.912500,736
1,2,57.847917,89.567708,31.719792,716
1,3,99.376042,130.619792,31.243750,662
2,4,322.326042,356.043750,33.717708,1476
2,5,364.764583,396.126042,31.361458,1380
2,6,408.251042,439.172917,30.921875,1360
3,7,620.265625,651.261458,30.995833,1348
3,8,660.028125,691.071875,31.043750,1372
3,9,706.391667,737.816667,31.425000,1304
4,10,925.616667,956.930208,31.313542,1376
4,11,965.404167,996.306250,30.902083,1420
4,12,1010.345833,1041.713542,31.367708,1396
5,13,1224.771875,1257.942708,33.170833,1464
5,14,1267.305208,1299.058333,31.753125,1400
5,15,1309.289583,1341.811458,32.521875,1324
