block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,44.100000,75.648958,31.548958,872
1,2,105.468750,135.761458,30.292708,650
1,3,185.894792,216.297917,30.403125,644
2,4,433.317708,464.177083,30.859375,874
2,5,496.988542,528.231250,31.242708,752
2,6,558.670833,588.877083,30.206250,658
3,7,702.567708,732.241667,29.673958,870
3,8,779.153125,809.631250,30.478125,818
3,9,833.700000,864.465625,30.765625,686
4,10,1000.183333,1030.671875,30.488542,874
4,11,1056.041667,1086.780208,30.738542,734
4,12,1112.179167,1142.531250,30.352083,644
5,13,1286.339583,1316.681250,30.341667,890
5,14,1364.032292,1395.734375,31.702083,886
5,15,1435.637500,1466.756250,31.118750,654
