block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,42.934375,74.621875,31.687500,674
1,2,77.446875,84.019792,6.572917,42
1,3,86.671875,117.404167,30.732292,604
1,4,134.060417,138.159375,4.098958,52
1,5,141.021875,172.143750,31.121875,558
2,6,358.306250,390.290625,31.984375,716
2,7,392.140625,399.630208,7.489583,42
2,8,401.584375,432.957292,31.372917,666
2,9,449.805208,481.421875,31.616667,598
3,10,655.468750,688.446875,32.978125,717
3,11,689.526042,697.060417,7.534375,43
3,12,699.019792,731.403125,32.383333,658
3,13,733.373958,739.383333,6.009375,114
3,14,747.191667,778.384375,31.192708,624
4,15,967.298958,999.065625,31.766667,702
4,16,1000.731250,1007.769792,7.038542,42
4,17,1010.259375,1041.453125,31.193750,759
4,18,1053.123958,1058.739583,5.615625,66
4,19,1060.834375,1092.153125,31.318750,634
5,20,1253.052083,1282.662500,29.610417,674
5,21,1288.677083,1291.694792,3.017708,18
5,22,1292.898958,1312.693750,19.794792,486
5,23,1314.334375,1317.615625,3.281250,60
5,24,1323.787500,1327.886458,4.098958,52
5,25,1329.667708,1361.354167,31.686458,642
