block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,18.550000,49.075000,30.525000,798
1,2,58.208333,89.097917,30.889583,734
1,3,103.201042,134.036458,30.835417,626
2,4,347.219792,377.817708,30.597917,764
2,5,381.325000,384.547917,3.222917,42
2,6,387.950000,419.389583,31.439583,678
2,7,436.671875,467.736458,31.064583,606
3,8,656.752083,687.362500,30.610417,802
3,9,697.831250,730.452083,32.620833,700
3,10,746.204167,779.070833,32.866667,662
4,11,955.038542,987.152083,32.113542,772
4,12,996.457292,1028.140625,31.683333,652
4,13,1039.480208,1070.136458,30.656250,610
5,14,1245.700000,1277.248958,31.548958,838
5,15,1297.784375,1329.042708,31.258333,722
5,16,1337.619792,1369.063542,31.443750,644
