block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,25.975000,58.019792,32.044792,772
1,2,73.136458,106.587500,33.451042,826
1,3,110.548958,115.872917,5.323958,136
1,4,124.002083,160.236458,36.234375,680
2,5,329.617708,358.170833,28.553125,716
2,6,373.167708,405.319792,32.152083,820
2,7,422.539583,454.111458,31.571875,516
3,8,634.165625,666.458333,32.292708,802
3,9,676.345833,684.868750,8.522917,185
3,10,694.008333,730.807292,36.798958,906
3,11,736.239583,769.058333,32.818750,564
4,12,937.276042,971.536458,34.260417,820
4,13,981.553125,1014.911458,33.358333,856
4,14,1018.756250,1026.838542,8.082292,172
4,15,1028.477083,1059.996875,31.519792,490
