block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,36.497917,69.303125,32.805208,676
1,2,75.163542,79.230208,4.066667,28
1,3,81.487500,85.269792,3.782292,21
1,4,100.427083,131.620833,31.193750,584
1,5,165.048958,195.679167,30.630208,548
2,6,339.219792,370.439583,31.219792,674
2,7,384.651042,388.266667,3.615625,19
2,8,393.568750,424.686458,31.117708,632
2,9,463.567708,494.104167,30.536458,558
3,10,650.463542,681.853125,31.389583,672
3,11,684.292708,690.665625,6.372917,42
3,12,692.235417,722.734375,30.498958,626
3,13,745.470833,786.395833,40.925000,746
4,14,964.077083,995.236458,31.159375,644
4,15,998.938542,1006.008333,7.069792,39
4,16,1009.627083,1040.594792,30.967708,642
4,17,1058.586458,1089.220833,30.634375,578
5,18,1275.893750,1315.094792,39.201042,690
5,19,1318.677083,1353.450000,34.772917,670
5,20,1367.286458,1397.979167,30.692708,556
