block_index,segment_index,start_sec,end_sec,duration_sec,note_event_count
1,1,10.595833,40.697917,30.102083,780
1,2,55.877083,86.566667,30.689583,682
1,3,91.550000,94.866667,3.316667,104
1,4,109.592708,112.594792,3.002083,42
1,5,117.954167,148.887500,30.933333,624
2,6,360.781250,392.378125,31.596875,800
2,7,401.715625,432.691667,30.976042,696
2,8,442.597917,446.256250,3.658333,54
2,9,447.958333,479.022917,31.064583,668
3,10,628.052083,658.654167,30.602083,800
3,11,661.167708,665.280208,4.112500,44
3,12,667.058333,697.680208,30.621875,736
3,13,701.994792,706.884375,4.889583,112
3,14,708.437500,711.764583,3.327083,58
3,15,713.388542,743.721875,30.333333,644
4,16,931.181250,961.733333,30.552083,802
4,17,963.792708,967.586458,3.793750,46
4,18,968.939583,1000.075000,31.135417,770
4,19,1016.798958,1020.577083,3.778125,54
4,20,1021.671875,1052.075000,30.403125,676
5,21,1230.767708,1261.304167,30.536458,804
5,22,1263.215625,1267.283333,4.067708,44
5,23,1269.900000,1299.513542,29.613542,759
5,24,1328.517708,1363.846875,35.329167,742
