condition,temperature_file,block,temp_anchor_sec,sync_lead,sync_jump_c,block_start_temp_sec,block_end_temp_sec,finger_temp_start_c,finger_temp_end_c,finger_temp_drop_c
007warm,5.20_007warm.plw,1,56.000,lead4,1.830,91.375,299.405,33.2703,33.4134,-0.1432
007warm,5.20_007warm.plw,2,56.000,lead4,1.830,556.705,719.708,34.3261,33.6508,0.6752
007warm,5.20_007warm.plw,3,56.000,lead4,1.830,1025.247,1264.854,33.5130,33.2419,0.2711
007warm,5.20_007warm.plw,4,56.000,lead4,1.830,1606.039,1841.024,34.0337,33.2841,0.7496
007warm,5.20_007warm.plw,5,56.000,lead4,1.830,2071.984,2288.130,34.3307,33.2396,1.0911
