condition,temperature_file,block,temp_anchor_sec,sync_lead,sync_jump_c,block_start_temp_sec,block_end_temp_sec,finger_temp_start_c,finger_temp_end_c,finger_temp_drop_c
007cold,5.20_007cold.plw,1,48.000,lead3,3.510,55.432,219.399,25.6746,23.1920,2.4826
007cold,5.20_007cold.plw,2,48.000,lead3,3.510,454.378,601.395,20.9638,19.4284,1.5354
007cold,5.20_007cold.plw,3,48.000,lead3,3.510,727.869,914.264,18.6168,17.9063,0.7106
007cold,5.20_007cold.plw,4,48.000,lead3,3.510,1135.812,1310.882,17.0152,16.3848,0.6304
007cold,5.20_007cold.plw,5,48.000,lead3,3.510,1440.570,1571.165,16.1778,16.1284,0.0494
007warm,5.20_007warm.plw,1,56.000,lead4,1.830,91.375,299.405,33.2703,33.4134,-0.1432
007warm,5.20_007warm.plw,2,56.000,lead4,1.830,556.705,719.708,34.3261,33.6508,0.6752
007warm,5.20_007warm.plw,3,56.000,lead4,1.830,1025.247,1264.854,33.5130,33.2419,0.2711
007warm,5.20_007warm.plw,4,56.000,lead4,1.830,1606.039,1841.024,34.0337,33.2841,0.7496
007warm,5.20_007warm.plw,5,56.000,lead4,1.830,2071.984,2288.130,34.3307,33.2396,1.0911
008cold,5.21_008cold.plw,1,32.000,lead3,4.686,51.333,202.975,31.6611,27.2485,4.4126
008cold,5.21_008cold.plw,2,32.000,lead3,4.686,351.057,490.344,26.4015,24.8973,1.5042
008cold,5.21_008cold.plw,3,32.000,lead3,4.686,605.751,830.589,23.1746,21.2968,1.8778
008cold,5.21_008cold.plw,4,32.000,lead3,4.686,956.939,1114.782,20.5647,19.9346,0.6301
008cold,5.21_008cold.plw,5,32.000,lead3,4.686,1292.427,1457.192,18.8202,18.0429,0.7773
008warm,5.21_008warm.plw,1,67.000,lead4,2.017,94.867,287.688,33.4860,33.1943,0.2917
008warm,5.21_008warm.plw,2,67.000,lead4,2.017,473.043,633.549,35.2715,33.9554,1.3161
008warm,5.21_008warm.plw,3,67.000,lead4,2.017,755.892,921.962,34.9082,34.9000,0.0082
008warm,5.21_008warm.plw,4,67.000,lead4,2.017,1056.878,1252.755,35.1545,34.5237,0.6309
008warm,5.21_008warm.plw,5,67.000,lead4,2.017,1358.424,1531.725,34.4720,34.2839,0.1881
