condition,temperature_file,block,temp_anchor_sec,sync_lead,sync_jump_c,block_start_temp_sec,block_end_temp_sec,finger_temp_start_c,finger_temp_end_c,finger_temp_drop_c
009cold,009cold.csv,1,16.000,lead3,4.850,26.717,150.626,33.6840,33.9860,-0.3020
009cold,009cold.csv,2,16.000,lead3,4.850,393.410,518.509,32.0180,32.4180,-0.4000
009cold,009cold.csv,3,16.000,lead3,4.850,687.396,812.659,30.3280,31.0500,-0.7220
009cold,009cold.csv,4,16.000,lead3,4.850,1060.686,1183.298,30.5540,29.6500,0.9040
009cold,009cold.csv,5,16.000,lead3,4.850,1254.007,1378.409,29.9160,28.7960,1.1200
009warm,009warm.csv,1,23.000,lead4,2.460,35.836,169.397,34.6900,34.7960,-0.1060
009warm,009warm.csv,2,23.000,lead4,2.460,355.169,484.381,35.3540,35.0340,0.3200
009warm,009warm.csv,3,23.000,lead4,2.460,640.621,766.860,35.6680,35.2360,0.4320
009warm,009warm.csv,4,23.000,lead4,2.460,959.706,1082.732,35.1860,35.3100,-0.1240
009warm,009warm.csv,5,23.000,lead4,2.460,1323.430,1448.128,35.1000,35.4540,-0.3540
010warm,010warm.csv,1,13.000,lead4,0.760,21.645,159.764,21.3400,21.1420,0.1980
010warm,010warm.csv,2,13.000,lead4,0.760,371.830,489.998,20.8160,20.6660,0.1500
010warm,010warm.csv,3,13.000,lead4,0.760,639.101,754.663,20.5160,20.6880,-0.1720
010warm,010warm.csv,4,13.000,lead4,0.760,942.230,1063.011,21.2300,21.1920,0.0380
010warm,010warm.csv,5,13.000,lead4,0.760,1241.817,1374.764,22.3780,22.3080,0.0700
011cold,011cold.csv,1,8.000,lead3,5.040,16.266,141.642,30.1260,26.5460,3.5800
011cold,011cold.csv,2,8.000,lead3,5.040,361.253,483.071,22.9380,21.4480,1.4900
011cold,011cold.csv,3,8.000,lead3,5.040,627.562,743.376,20.1620,18.9900,1.1720
011cold,011cold.csv,4,8.000,lead3,5.040,937.689,1052.013,18.1460,17.8880,0.2580
011cold,011cold.csv,5,8.000,lead3,5.040,1221.500,1337.774,16.9967,16.6980,0.2987
011warm,011warm.csv,1,15.000,lead4,1.260,23.585,182.617,31.5800,30.5540,1.0260
011warm,011warm.csv,2,15.000,lead4,1.260,326.307,480.739,32.8440,30.8260,2.0180
011warm,011warm.csv,3,15.000,lead4,1.260,637.551,773.279,nan,nan,nan
011warm,011warm.csv,4,15.000,lead4,1.260,951.165,1075.949,nan,nan,nan
011warm,011warm.csv,5,15.000,lead4,1.260,1262.981,1384.535,nan,nan,nan
012cold,"5,29_012cold.csv",1,20.000,lead3,6.470,43.986,176.973,24.6380,23.2200,1.4180
012cold,"5,29_012cold.csv",2,20.000,lead3,6.470,359.849,514.337,21.5080,20.4780,1.0300
012cold,"5,29_012cold.csv",3,20.000,lead3,6.470,661.349,816.717,19.8680,19.3180,0.5500
012cold,"5,29_012cold.csv",4,20.000,lead3,6.470,1097.148,1250.778,18.3520,17.9820,0.3700
012cold,"5,29_012cold.csv",5,20.000,lead3,6.470,1420.071,1574.226,17.7180,17.6360,0.0820
012warm,5.29_012warm.csv,1,36.000,lead4,0.690,53.734,225.704,31.4020,30.2840,1.1180
012warm,5.29_012warm.csv,2,36.000,lead4,0.690,442.952,598.333,31.7380,30.5400,1.1980
012warm,5.29_012warm.csv,3,36.000,lead4,0.690,712.202,873.702,30.6060,29.8040,0.8020
012warm,5.29_012warm.csv,4,36.000,lead4,0.690,1009.818,1151.364,29.3720,28.8460,0.5260
012warm,5.29_012warm.csv,5,36.000,lead4,0.690,1295.974,1475.537,28.6800,27.7420,0.9380
