block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,56.748958,89.073958,27.866667,60.191667,32.325000,midi_notes,28.882292
1,2,Max loudness chords,89.073958,131.913542,60.191667,103.031250,42.839583,inferred_gap_no_midi_notes,28.882292
1,3,"Hold G, 321",131.913542,159.057292,103.031250,130.175000,27.143750,midi_notes,28.882292
1,4,Chromatic octaves,193.276042,200.341667,164.393750,171.459375,7.065625,midi_notes,28.882292
1,5,C major arpeggios,204.847917,205.680208,175.965625,176.797917,0.832292,midi_notes,28.882292
1,6,Anchored trill,219.960417,249.569792,191.078125,220.687500,29.609375,midi_notes,28.882292
2,1,C major scale 1 octave up/down,434.925000,477.627083,406.042708,448.744792,42.702083,midi_notes,28.882292
2,2,Max loudness chords,477.627083,510.025000,448.744792,481.142708,32.397917,inferred_gap_no_midi_notes,28.882292
2,3,"Hold G, 321",510.025000,542.167708,481.142708,513.285417,32.142708,midi_notes,28.882292
2,4,Chromatic octaves,546.246875,556.183333,517.364583,527.301042,9.936458,midi_notes,28.882292
2,5,C major arpeggios,556.183333,556.183333,527.301042,527.301042,0.000000,midi_notes,28.882292
2,6,Anchored trill,577.855208,595.431250,548.972917,566.548958,17.576042,midi_notes,28.882292
3,1,C major scale 1 octave up/down,717.773958,749.025000,688.891667,720.142708,31.251042,midi_notes,28.882292
3,2,Max loudness chords,749.025000,782.480208,720.142708,753.597917,33.455208,inferred_gap_no_midi_notes,28.882292
3,3,"Hold G, 321",782.480208,806.043750,753.597917,777.161458,23.563542,midi_notes,28.882292
3,4,Chromatic octaves,826.604167,834.481250,797.721875,805.598958,7.877083,midi_notes,28.882292
3,5,C major arpeggios,843.842708,844.884375,814.960417,816.002083,1.041667,midi_notes,28.882292
3,6,Anchored trill,849.253125,883.844792,820.370833,854.962500,34.591667,midi_notes,28.882292
4,1,C major scale 1 octave up/down,1018.760417,1045.151042,989.878125,1016.268750,26.390625,midi_notes,28.882292
4,2,Max loudness chords,1045.151042,1094.703125,1016.268750,1065.820833,49.552083,inferred_gap_no_midi_notes,28.882292
4,3,"Hold G, 321",1094.703125,1134.409375,1065.820833,1105.527083,39.706250,midi_notes,28.882292
4,4,Chromatic octaves,1144.843750,1150.108333,1115.961458,1121.226042,5.264583,midi_notes,28.882292
4,5,C major arpeggios,1159.560417,1160.638542,1130.678125,1131.756250,1.078125,midi_notes,28.882292
4,6,Anchored trill,1169.830208,1214.637500,1140.947917,1185.755208,44.807292,midi_notes,28.882292
5,1,C major scale 1 octave up/down,1320.306250,1351.597917,1291.423958,1322.715625,31.291667,midi_notes,28.882292
5,2,Max loudness chords,1351.597917,1389.784375,1322.715625,1360.902083,38.186458,inferred_gap_no_midi_notes,28.882292
5,3,"Hold G, 321",1389.784375,1420.593750,1360.902083,1391.711458,30.809375,midi_notes,28.882292
5,4,Chromatic octaves,1434.213542,1440.098958,1405.331250,1411.216667,5.885417,midi_notes,28.882292
5,5,C major arpeggios,1440.098958,1440.098958,1411.216667,1411.216667,0.000000,midi_notes,28.882292
5,6,Anchored trill,1452.427083,1493.607292,1423.544792,1464.725000,41.180208,midi_notes,28.882292
