block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,22.059375,55.545833,7.430208,40.916667,33.486458,midi_notes,14.629167
1,2,Max loudness chords,55.545833,64.934375,40.916667,50.305208,9.388542,inferred_gap_no_midi_notes,14.629167
1,3,"Hold G, 321",64.934375,96.116667,50.305208,81.487500,31.182292,midi_notes,14.629167
1,4,Chromatic octaves,98.466667,102.989583,83.837500,88.360417,4.522917,midi_notes,14.629167
1,5,C major arpeggios,104.977083,106.129167,90.347917,91.500000,1.152083,midi_notes,14.629167
1,6,Anchored trill,111.889583,141.963542,97.260417,127.334375,30.073958,midi_notes,14.629167
2,1,C major scale 1 octave up/down,346.344792,376.620833,331.715625,361.991667,30.276042,midi_notes,14.629167
2,2,Max loudness chords,376.620833,385.583333,361.991667,370.954167,8.962500,inferred_gap_no_midi_notes,14.629167
2,3,"Hold G, 321",385.583333,416.228125,370.954167,401.598958,30.644792,midi_notes,14.629167
2,4,Chromatic octaves,418.645833,423.626042,404.016667,408.996875,4.980208,midi_notes,14.629167
2,5,C major arpeggios,426.103125,429.706250,411.473958,415.077083,3.603125,midi_notes,14.629167
2,6,Anchored trill,431.727083,462.281250,417.097917,447.652083,30.554167,midi_notes,14.629167
3,1,C major scale 1 octave up/down,634.646875,665.972917,620.017708,651.343750,31.326042,midi_notes,14.629167
3,2,Max loudness chords,665.972917,673.635417,651.343750,659.006250,7.662500,inferred_gap_no_midi_notes,14.629167
3,3,"Hold G, 321",673.635417,705.365625,659.006250,690.736458,31.730208,midi_notes,14.629167
3,4,Chromatic octaves,707.489583,712.214583,692.860417,697.585417,4.725000,midi_notes,14.629167
3,5,C major arpeggios,714.395833,715.482292,699.766667,700.853125,1.086458,midi_notes,14.629167
3,6,Anchored trill,719.282292,751.170833,704.653125,736.541667,31.888542,midi_notes,14.629167
4,1,C major scale 1 octave up/down,957.434375,988.101042,942.805208,973.471875,30.666667,midi_notes,14.629167
4,2,Max loudness chords,988.101042,995.729167,973.471875,981.100000,7.628125,inferred_gap_no_midi_notes,14.629167
4,3,"Hold G, 321",995.729167,1026.389583,981.100000,1011.760417,30.660417,midi_notes,14.629167
4,4,Chromatic octaves,1029.061458,1033.639583,1014.432292,1019.010417,4.578125,midi_notes,14.629167
4,5,C major arpeggios,1039.702083,1040.784375,1025.072917,1026.155208,1.082292,midi_notes,14.629167
4,6,Anchored trill,1042.958333,1072.316667,1028.329167,1057.687500,29.358333,midi_notes,14.629167
5,1,C major scale 1 octave up/down,1278.979167,1309.733333,1264.350000,1295.104167,30.754167,midi_notes,14.629167
5,2,Max loudness chords,1309.733333,1318.817708,1295.104167,1304.188542,9.084375,inferred_gap_no_midi_notes,14.629167
5,3,"Hold G, 321",1318.817708,1349.669792,1304.188542,1335.040625,30.852083,midi_notes,14.629167
5,4,Chromatic octaves,1352.036458,1357.133333,1337.407292,1342.504167,5.096875,midi_notes,14.629167
5,5,C major arpeggios,1361.082292,1362.172917,1346.453125,1347.543750,1.090625,midi_notes,14.629167
5,6,Anchored trill,1366.148958,1396.793750,1351.519792,1382.164583,30.644792,midi_notes,14.629167
