block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,18.550000,48.965625,14.512500,44.928125,30.415625,midi_notes,4.037500
1,2,Max loudness chords,48.965625,58.770833,44.928125,54.733333,9.805208,inferred_gap_no_midi_notes,4.037500
1,3,"Hold G, 321",58.770833,88.768750,54.733333,84.731250,29.997917,midi_notes,4.037500
1,4,Chromatic octaves,93.948958,95.447917,89.911458,91.410417,1.498958,midi_notes,4.037500
1,5,C major arpeggios,95.447917,95.447917,91.410417,91.410417,0.000000,midi_notes,4.037500
1,6,Anchored trill,103.201042,133.772917,99.163542,129.735417,30.571875,midi_notes,4.037500
2,1,C major scale 1 octave up/down,347.219792,377.178125,343.182292,373.140625,29.958333,midi_notes,4.037500
2,2,Max loudness chords,377.178125,388.560417,373.140625,384.522917,11.382292,inferred_gap_no_midi_notes,4.037500
2,3,"Hold G, 321",388.560417,419.087500,384.522917,415.050000,30.527083,midi_notes,4.037500
2,4,Chromatic octaves,423.136458,424.634375,419.098958,420.596875,1.497917,midi_notes,4.037500
2,5,C major arpeggios,432.628125,434.005208,428.590625,429.967708,1.377083,midi_notes,4.037500
2,6,Anchored trill,436.671875,467.432292,432.634375,463.394792,30.760417,midi_notes,4.037500
3,1,C major scale 1 octave up/down,656.752083,687.312500,652.714583,683.275000,30.560417,midi_notes,4.037500
3,2,Max loudness chords,687.312500,698.426042,683.275000,694.388542,11.113542,inferred_gap_no_midi_notes,4.037500
3,3,"Hold G, 321",698.426042,730.160417,694.388542,726.122917,31.734375,midi_notes,4.037500
3,4,Chromatic octaves,734.868750,736.333333,730.831250,732.295833,1.464583,midi_notes,4.037500
3,5,C major arpeggios,736.333333,736.333333,732.295833,732.295833,0.000000,midi_notes,4.037500
3,6,Anchored trill,746.204167,778.879167,742.166667,774.841667,32.675000,midi_notes,4.037500
4,1,C major scale 1 octave up/down,955.038542,987.103125,951.001042,983.065625,32.064583,midi_notes,4.037500
4,2,Max loudness chords,987.103125,997.000000,983.065625,992.962500,9.896875,inferred_gap_no_midi_notes,4.037500
4,3,"Hold G, 321",997.000000,1027.865625,992.962500,1023.828125,30.865625,midi_notes,4.037500
4,4,Chromatic octaves,1031.653125,1033.130208,1027.615625,1029.092708,1.477083,midi_notes,4.037500
4,5,C major arpeggios,1033.130208,1033.130208,1029.092708,1029.092708,0.000000,midi_notes,4.037500
4,6,Anchored trill,1039.480208,1069.838542,1035.442708,1065.801042,30.358333,midi_notes,4.037500
5,1,C major scale 1 octave up/down,1245.700000,1277.179167,1241.662500,1273.141667,31.479167,midi_notes,4.037500
5,2,Max loudness chords,1277.179167,1297.784375,1273.141667,1293.746875,20.605208,inferred_gap_no_midi_notes,4.037500
5,3,"Hold G, 321",1297.784375,1328.800000,1293.746875,1324.762500,31.015625,midi_notes,4.037500
5,4,Chromatic octaves,1330.887500,1332.354167,1326.850000,1328.316667,1.466667,midi_notes,4.037500
5,5,C major arpeggios,1333.968750,1335.183333,1329.931250,1331.145833,1.214583,midi_notes,4.037500
5,6,Anchored trill,1337.619792,1368.694792,1333.582292,1364.657292,31.075000,midi_notes,4.037500
