block,exercise_index,exercise,midi_start_sec,midi_end_sec,midi_start_from_anchor_sec,midi_end_from_anchor_sec,duration_sec,source,midi_anchor_lowest_note_sec
1,1,C major scale 1 octave up/down,34.987500,67.621875,15.225000,47.859375,32.634375,midi_notes,19.762500
1,2,Max loudness chords,67.621875,85.702083,47.859375,65.939583,18.080208,inferred_gap_no_midi_notes,19.762500
1,3,"Hold G, 321",85.702083,116.640625,65.939583,96.878125,30.938542,midi_notes,19.762500
1,4,Chromatic octaves,134.006250,141.448958,114.243750,121.686458,7.442708,midi_notes,19.762500
1,5,C major arpeggios,141.448958,141.448958,121.686458,121.686458,0.000000,midi_notes,19.762500
1,6,Anchored trill,167.495833,197.900000,147.733333,178.137500,30.404167,midi_notes,19.762500
2,1,C major scale 1 octave up/down,412.013542,442.547917,392.251042,422.785417,30.534375,midi_notes,19.762500
2,2,Max loudness chords,442.547917,453.155208,422.785417,433.392708,10.607292,inferred_gap_no_midi_notes,19.762500
2,3,"Hold G, 321",453.155208,484.032292,433.392708,464.269792,30.877083,midi_notes,19.762500
2,4,Chromatic octaves,490.034375,491.562500,470.271875,471.800000,1.528125,midi_notes,19.762500
2,5,C major arpeggios,491.562500,491.562500,471.800000,471.800000,0.000000,midi_notes,19.762500
2,6,Anchored trill,505.752083,536.658333,485.989583,516.895833,30.906250,midi_notes,19.762500
3,1,C major scale 1 octave up/down,687.352083,718.705208,667.589583,698.942708,31.353125,midi_notes,19.762500
3,2,Max loudness chords,718.705208,728.591667,698.942708,708.829167,9.886458,inferred_gap_no_midi_notes,19.762500
3,3,"Hold G, 321",728.591667,758.920833,708.829167,739.158333,30.329167,midi_notes,19.762500
3,4,Chromatic octaves,762.275000,763.783333,742.512500,744.020833,1.508333,midi_notes,19.762500
3,5,C major arpeggios,768.105208,769.315625,748.342708,749.553125,1.210417,midi_notes,19.762500
3,6,Anchored trill,777.506250,807.838542,757.743750,788.076042,30.332292,midi_notes,19.762500
4,1,C major scale 1 octave up/down,951.520833,982.371875,931.758333,962.609375,30.851042,midi_notes,19.762500
4,2,Max loudness chords,982.371875,993.020833,962.609375,973.258333,10.648958,inferred_gap_no_midi_notes,19.762500
4,3,"Hold G, 321",993.020833,1022.995833,973.258333,1003.233333,29.975000,midi_notes,19.762500
4,4,Chromatic octaves,1030.245833,1031.748958,1010.483333,1011.986458,1.503125,midi_notes,19.762500
4,5,C major arpeggios,1036.105208,1037.206250,1016.342708,1017.443750,1.101042,midi_notes,19.762500
4,6,Anchored trill,1045.855208,1076.344792,1026.092708,1056.582292,30.489583,midi_notes,19.762500
5,1,C major scale 1 octave up/down,1246.301042,1276.909375,1226.538542,1257.146875,30.608333,midi_notes,19.762500
5,2,Max loudness chords,1276.909375,1288.990625,1257.146875,1269.228125,12.081250,inferred_gap_no_midi_notes,19.762500
5,3,"Hold G, 321",1288.990625,1318.983333,1269.228125,1299.220833,29.992708,midi_notes,19.762500
5,4,Chromatic octaves,1323.678125,1325.157292,1303.915625,1305.394792,1.479167,midi_notes,19.762500
5,5,C major arpeggios,1329.561458,1330.660417,1309.798958,1310.897917,1.098958,midi_notes,19.762500
5,6,Anchored trill,1337.017708,1367.689583,1317.255208,1347.927083,30.671875,midi_notes,19.762500
