file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
012cold_01.csv,1,1,C major scale 1 octave up/down,23.986458,53.993750,26.072208,56.079500,30.007292,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,1,2,Max loudness chords,53.993750,78.963542,56.079500,81.049292,24.969792,nan,0,inferred_gap_no_midi_notes,18.700000,2.085750
012cold_01.csv,1,3,"Hold G, 321",78.963542,109.376042,81.049292,111.461792,30.412500,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,1,4,Chromatic octaves,112.119792,117.226042,114.205542,119.311792,5.106250,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,1,5,C major arpeggios,120.130208,124.114583,122.215958,126.200333,3.984375,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,1,6,Anchored trill,126.284375,156.972917,128.370125,159.058667,30.688542,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,2,1,C major scale 1 octave up/down,339.848958,370.729167,341.934708,372.814917,30.880208,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,2,2,Max loudness chords,370.729167,407.763542,372.814917,409.849292,37.034375,nan,0,inferred_gap_no_midi_notes,18.700000,2.085750
012cold_01.csv,2,3,"Hold G, 321",407.763542,441.183333,409.849292,443.269083,33.419792,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,2,4,Chromatic octaves,446.395833,452.002083,448.481583,454.087833,5.606250,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,2,5,C major arpeggios,456.542708,460.401042,458.628458,462.486792,3.858333,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,2,6,Anchored trill,463.568750,494.337500,465.654500,496.423250,30.768750,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,3,1,C major scale 1 octave up/down,641.348958,672.053125,643.434708,674.138875,30.704167,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,3,2,Max loudness chords,672.053125,706.509375,674.138875,708.595125,34.456250,nan,0,inferred_gap_no_midi_notes,18.700000,2.085750
012cold_01.csv,3,3,"Hold G, 321",706.509375,737.283333,708.595125,739.369083,30.773958,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,3,4,Chromatic octaves,741.461458,748.489583,743.547208,750.575333,7.028125,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,3,5,C major arpeggios,757.006250,758.012500,759.092000,760.098250,1.006250,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,3,6,Anchored trill,766.161458,796.716667,768.247208,798.802417,30.555208,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,4,1,C major scale 1 octave up/down,1077.147917,1107.602083,1079.233667,1109.687833,30.454167,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,4,2,Max loudness chords,1107.602083,1140.762500,1109.687833,1142.848250,33.160417,nan,0,inferred_gap_no_midi_notes,18.700000,2.085750
012cold_01.csv,4,3,"Hold G, 321",1140.762500,1171.350000,1142.848250,1173.435750,30.587500,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,4,4,Chromatic octaves,1182.953125,1189.283333,1185.038875,1191.369083,6.330208,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,4,5,C major arpeggios,1196.015625,1197.065625,1198.101375,1199.151375,1.050000,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,4,6,Anchored trill,1200.839583,1230.778125,1202.925333,1232.863875,29.938542,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,5,1,C major scale 1 octave up/down,1400.070833,1439.606250,1402.156583,1441.692000,39.535417,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,5,2,Max loudness chords,1439.606250,1469.080208,1441.692000,1471.165958,29.473958,nan,0,inferred_gap_no_midi_notes,18.700000,2.085750
012cold_01.csv,5,3,"Hold G, 321",1469.080208,1500.191667,1471.165958,1502.277417,31.111458,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,5,4,Chromatic octaves,1508.916667,1514.539583,1511.002417,1516.625333,5.622917,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,5,5,C major arpeggios,1517.515625,1520.761458,1519.601375,1522.847208,3.245833,nan,0,midi_notes,18.700000,2.085750
012cold_01.csv,5,6,Anchored trill,1523.737500,1554.226042,1525.823250,1556.311792,30.488542,nan,0,midi_notes,18.700000,2.085750
