file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
004cold_01.csv,1,1,C major scale 1 octave up/down,14.512500,44.928125,16.868250,47.283875,30.415625,0.16193287,38301,midi_notes,4.037500,2.355750
004cold_01.csv,1,2,Max loudness chords,44.928125,54.733333,47.283875,57.089083,9.805208,0.07032935,12347,inferred_gap_no_midi_notes,4.037500,2.355750
004cold_01.csv,1,3,"Hold G, 321",54.733333,84.731250,57.089083,87.087000,29.997917,0.15653963,37776,midi_notes,4.037500,2.355750
004cold_01.csv,1,4,Chromatic octaves,89.911458,91.410417,92.267208,93.766167,1.498958,0.14870174,1887,midi_notes,4.037500,2.355750
004cold_01.csv,1,5,C major arpeggios,91.410417,91.410417,93.766167,93.766167,0.000000,nan,0,midi_notes,4.037500,2.355750
004cold_01.csv,1,6,Anchored trill,99.163542,129.735417,101.519292,132.091167,30.571875,0.07336642,38498,midi_notes,4.037500,2.355750
004cold_01.csv,2,1,C major scale 1 octave up/down,343.182292,373.140625,345.538042,375.496375,29.958333,0.35496695,37726,midi_notes,4.037500,2.355750
004cold_01.csv,2,2,Max loudness chords,373.140625,384.522917,375.496375,386.878667,11.382292,1.08951662,14333,inferred_gap_no_midi_notes,4.037500,2.355750
004cold_01.csv,2,3,"Hold G, 321",384.522917,415.050000,386.878667,417.405750,30.527083,0.72699468,38442,midi_notes,4.037500,2.355750
004cold_01.csv,2,4,Chromatic octaves,419.098958,420.596875,421.454708,422.952625,1.497917,1.07877661,1887,midi_notes,4.037500,2.355750
004cold_01.csv,2,5,C major arpeggios,428.590625,429.967708,430.946375,432.323458,1.377083,2.44654143,1734,midi_notes,4.037500,2.355750
004cold_01.csv,2,6,Anchored trill,432.634375,463.394792,434.990125,465.750542,30.760417,2.51087137,38735,midi_notes,4.037500,2.355750
004cold_01.csv,3,1,C major scale 1 octave up/down,652.714583,683.275000,655.070333,685.630750,30.560417,2.44804320,38483,midi_notes,4.037500,2.355750
004cold_01.csv,3,2,Max loudness chords,683.275000,694.388542,685.630750,696.744292,11.113542,2.23889939,13995,inferred_gap_no_midi_notes,4.037500,2.355750
004cold_01.csv,3,3,"Hold G, 321",694.388542,726.122917,696.744292,728.478667,31.734375,2.53511511,39962,midi_notes,4.037500,2.355750
004cold_01.csv,3,4,Chromatic octaves,730.831250,732.295833,733.187000,734.651583,1.464583,2.56731022,1844,midi_notes,4.037500,2.355750
004cold_01.csv,3,5,C major arpeggios,732.295833,732.295833,734.651583,734.651583,0.000000,nan,0,midi_notes,4.037500,2.355750
004cold_01.csv,3,6,Anchored trill,742.166667,774.841667,744.522417,777.197417,32.675000,2.50735847,41147,midi_notes,4.037500,2.355750
004cold_01.csv,4,1,C major scale 1 octave up/down,951.001042,983.065625,953.356792,985.421375,32.064583,2.49342600,40377,midi_notes,4.037500,2.355750
004cold_01.csv,4,2,Max loudness chords,983.065625,992.962500,985.421375,995.318250,9.896875,2.08468203,12463,inferred_gap_no_midi_notes,4.037500,2.355750
004cold_01.csv,4,3,"Hold G, 321",992.962500,1023.828125,995.318250,1026.183875,30.865625,2.52253633,38868,midi_notes,4.037500,2.355750
004cold_01.csv,4,4,Chromatic octaves,1027.615625,1029.092708,1029.971375,1031.448458,1.477083,2.55662106,1861,midi_notes,4.037500,2.355750
004cold_01.csv,4,5,C major arpeggios,1029.092708,1029.092708,1031.448458,1031.448458,0.000000,nan,0,midi_notes,4.037500,2.355750
004cold_01.csv,4,6,Anchored trill,1035.442708,1065.801042,1037.798458,1068.156792,30.358333,2.50214478,38229,midi_notes,4.037500,2.355750
004cold_01.csv,5,1,C major scale 1 octave up/down,1241.662500,1273.141667,1244.018250,1275.497417,31.479167,2.49533183,39640,midi_notes,4.037500,2.355750
004cold_01.csv,5,2,Max loudness chords,1273.141667,1293.746875,1275.497417,1296.102625,20.605208,1.99260260,25948,inferred_gap_no_midi_notes,4.037500,2.355750
004cold_01.csv,5,3,"Hold G, 321",1293.746875,1324.762500,1296.102625,1327.118250,31.015625,2.51717700,39056,midi_notes,4.037500,2.355750
004cold_01.csv,5,4,Chromatic octaves,1326.850000,1328.316667,1329.205750,1330.672417,1.466667,2.57165665,1847,midi_notes,4.037500,2.355750
004cold_01.csv,5,5,C major arpeggios,1329.931250,1331.145833,1332.287000,1333.501583,1.214583,2.49728524,1530,midi_notes,4.037500,2.355750
004cold_01.csv,5,6,Anchored trill,1333.582292,1364.657292,1335.938042,1367.013042,31.075000,2.51163685,39131,midi_notes,4.037500,2.355750
