file,block,exercise_index,exercise,midi_start_from_anchor_sec,midi_end_from_anchor_sec,emg_start_sec,emg_end_sec,duration_sec,emg_rms_mv,sample_count,source,midi_anchor_lowest_note_sec,emg_anchor_imu_punch_sec
009warm (2).csv,1,1,C major scale 1 octave up/down,12.836458,43.866667,26.133958,57.164167,31.030208,0.28395530,39075,midi_notes,50.858333,13.297500
009warm (2).csv,1,2,Max loudness chords,43.866667,62.138542,57.164167,75.436042,18.271875,0.28030954,23009,inferred_gap_no_midi_notes,50.858333,13.297500
009warm (2).csv,1,3,"Hold G, 321",62.138542,91.813542,75.436042,105.111042,29.675000,0.28240069,37369,midi_notes,50.858333,13.297500
009warm (2).csv,1,4,Chromatic octaves,96.453125,104.190625,109.750625,117.488125,7.737500,0.20615298,9744,midi_notes,50.858333,13.297500
009warm (2).csv,1,5,C major arpeggios,111.517708,112.881250,124.815208,126.178750,1.363542,0.26663269,1717,midi_notes,50.858333,13.297500
009warm (2).csv,1,6,Anchored trill,116.913542,146.396875,130.211042,159.694375,29.483333,0.33233018,37127,midi_notes,50.858333,13.297500
009warm (2).csv,2,1,C major scale 1 octave up/down,332.168750,362.911458,345.466250,376.208958,30.742708,0.26931659,38713,midi_notes,50.858333,13.297500
009warm (2).csv,2,2,Max loudness chords,362.911458,380.958333,376.208958,394.255833,18.046875,0.44971163,22726,inferred_gap_no_midi_notes,50.858333,13.297500
009warm (2).csv,2,3,"Hold G, 321",380.958333,411.512500,394.255833,424.810000,30.554167,0.41455099,38475,midi_notes,50.858333,13.297500
009warm (2).csv,2,4,Chromatic octaves,415.334375,420.278125,428.631875,433.575625,4.943750,0.17429868,6226,midi_notes,50.858333,13.297500
009warm (2).csv,2,5,C major arpeggios,420.278125,420.278125,433.575625,433.575625,0.000000,nan,0,midi_notes,50.858333,13.297500
009warm (2).csv,2,6,Anchored trill,430.685417,461.381250,443.982917,474.678750,30.695833,0.38597372,38654,midi_notes,50.858333,13.297500
009warm (2).csv,3,1,C major scale 1 octave up/down,617.620833,648.206250,630.918333,661.503750,30.585417,0.06493691,38515,midi_notes,50.858333,13.297500
009warm (2).csv,3,2,Max loudness chords,648.206250,664.959375,661.503750,678.256875,16.753125,0.53835524,21097,inferred_gap_no_midi_notes,50.858333,13.297500
009warm (2).csv,3,3,"Hold G, 321",664.959375,695.308333,678.256875,708.605833,30.348958,0.44215471,38217,midi_notes,50.858333,13.297500
009warm (2).csv,3,4,Chromatic octaves,697.530208,702.861458,710.827708,716.158958,5.331250,0.28088222,6713,midi_notes,50.858333,13.297500
009warm (2).csv,3,5,C major arpeggios,704.964583,708.294792,718.262083,721.592292,3.330208,0.25022286,4193,midi_notes,50.858333,13.297500
009warm (2).csv,3,6,Anchored trill,713.004167,743.860417,726.301667,757.157917,30.856250,0.47411567,38856,midi_notes,50.858333,13.297500
009warm (2).csv,4,1,C major scale 1 octave up/down,936.706250,967.928125,950.003750,981.225625,31.221875,0.21115252,39316,midi_notes,50.858333,13.297500
009warm (2).csv,4,2,Max loudness chords,967.928125,984.652083,981.225625,997.949583,16.723958,0.55077129,21060,inferred_gap_no_midi_notes,50.858333,13.297500
009warm (2).csv,4,3,"Hold G, 321",984.652083,1015.001042,997.949583,1028.298542,30.348958,0.39346708,38217,midi_notes,50.858333,13.297500
009warm (2).csv,4,4,Chromatic octaves,1017.346875,1021.261458,1030.644375,1034.558958,3.914583,0.29245072,4929,midi_notes,50.858333,13.297500
009warm (2).csv,4,5,C major arpeggios,1021.261458,1021.261458,1034.558958,1034.558958,0.000000,nan,0,midi_notes,50.858333,13.297500
009warm (2).csv,4,6,Anchored trill,1029.232292,1059.732292,1042.529792,1073.029792,30.500000,0.39969892,38407,midi_notes,50.858333,13.297500
009warm (2).csv,5,1,C major scale 1 octave up/down,1300.430208,1331.790625,1313.727708,1345.088125,31.360417,0.13231695,39491,midi_notes,50.858333,13.297500
009warm (2).csv,5,2,Max loudness chords,1331.790625,1349.731250,1345.088125,1363.028750,17.940625,0.57213018,22592,inferred_gap_no_midi_notes,50.858333,13.297500
009warm (2).csv,5,3,"Hold G, 321",1349.731250,1380.080208,1363.028750,1393.377708,30.348958,0.43625912,38217,midi_notes,50.858333,13.297500
009warm (2).csv,5,4,Chromatic octaves,1383.078125,1387.111458,1396.375625,1400.408958,4.033333,0.33015644,5079,midi_notes,50.858333,13.297500
009warm (2).csv,5,5,C major arpeggios,1390.625000,1391.766667,1403.922500,1405.064167,1.141667,0.22106694,1438,midi_notes,50.858333,13.297500
009warm (2).csv,5,6,Anchored trill,1394.305208,1425.128125,1407.602708,1438.425625,30.822917,0.43794742,38814,midi_notes,50.858333,13.297500
